model,precision,recall,f1,train_samples,valid_samples,positive_samples,feature_count
random_forest_small,0.695906432748538,0.6197916666666666,0.6556473829201102,1213,405,768,457
logistic_regression,0.6845238095238095,0.5989583333333334,0.6388888888888888,1213,405,768,457
